Oliver Bill Brother, Auburn (DC), dc, [1996, 1998]
Oliver Bill Brother, Auburn (interim HC), hc, [1998, -1]
Olson Jeff, Southern Oregon, hc, [1996, 2004]
Orgeron Ed, Northwestern State (GA), ga, [1984, 1984]
Orgeron Ed, McNeese State (GA), ga, [1985, 1985]
Orgeron Ed, Arkansas (Asst. Strength), hc, [1986, 1987]
Orgeron Ed, Miami (FL) (DL), dl, [1988, 1992]
Orgeron Ed, Nicholls State (LB), lb, [1994, 1994]
Orgeron Ed, Syracuse (DL), dl, [1995, 1997]
Orgeron Ed, USC (Asst. HC/DL/RC), hc, [1998, 2004]
Orgeron Ed, Ole Miss, hc, [2005, 2007]
Orgeron Ed, New Orleans Saints (DL), dl, [2008, 2008]
Orgeron Ed, Tennessee (Asst. HC/DL/RC), hc, [2009, 2009]
Orgeron Ed, USC (DL/RC), dl, [2010, 2013]
Orgeron Ed, USC (interim HC), hc, [2013, -1]
Osborne Tom, Nebraska (off. assistant), ga, [1964, 1968]
Osborne Tom, Nebraska (OC), oc, [1969, 1972]
Osborne Tom, Nebraska, hc, [1973, 1997]
Ostendarp James E. Jim, Bucknell (asst.), hc, [1953, 1954]
Ostendarp James E. Jim, Williams (asst.), hc, [1955, 1957]
Ostendarp James E. Jim, Cornell (asst.), hc, [1958, 1958]
Ostendarp James E. Jim, Amherst, hc, [1959, 1991]
Otolski Bob, Marian HS (IN), hc, [1966, 1972]
Otolski Bob, Indiana (ST), st, [1973, 1980]
Otolski Bob, Illinois State, hc, [1981, 1987]
Otterbein Keith, Hillsdale (assistant), ga, [1979, 1979]
Otterbein Keith, Central Michigan (assistant), ga, [1985, 1985]
